id,postTimeUTC,countdown,platform,accountId,fact,factGuess,roster
4244712,2026-09-18T13:30,,linkedin,20723,,i-used-to-say-i-had-no,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231159,2026-09-18T14:00,,facebook,30840,trickortreat,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231153,2026-09-18T14:30,,youtube,36129,mare,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4059647,2026-09-18T15:00,43d,instagram,45886,mare,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4438228,2026-09-18T16:00,,tiktok,41488,,targetpartner-ad-target-did-not-ease-into,facebook|instagram|linkedin|pinterest|tiktok|youtube
3927278,2026-09-18T16:30,,instagram,65540,,10-of-her-years-have-been-mine,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231160,2026-09-18T17:00,,facebook,30840,turnip,,facebook|instagram|linkedin|pinterest|tiktok|youtube
3732561,2026-09-18T17:20,,youtube,36129,,having-a-19-year-old-dog-means,facebook|instagram|linkedin|pinterest|tiktok|youtube
4059560,2026-09-18T18:00,,instagram,45886,,sarah-winchester-built-for-more-than-35,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231175,2026-09-18T19:30,,facebook,30840,trackA-hal-020,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231166,2026-09-18T20:00,,tiktok,41488,coffinbell,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231170,2026-09-18T20:00,,instagram,45886,,today-s-issue-went-out-this-morning-and,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231155,2026-09-18T20:20,,youtube,36129,nbc,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4244571,2026-09-18T21:00,,pinterest,6328,,victorian-safety-coffins-came-with-bells-ropes,facebook|instagram|linkedin|pinterest|tiktok|youtube
4236596,2026-09-18T22:00,,facebook,30840,mare,,facebook|instagram|linkedin|pinterest|tiktok|youtube
3824827,2026-09-18T23:00,,instagram,45886,,your-towels-aren-t-the-only-thing-the,facebook|instagram|linkedin|pinterest|tiktok|youtube
4231167,2026-09-18T23:00,,tiktok,41488,lugnano,,facebook|instagram|linkedin|pinterest|tiktok|youtube
4189715,2026-09-19T00:00,,instagram,45886,halloweentown-v2,,facebook|instagram|linkedin|pinterest|tiktok|youtube
