Action,BlotatoId,SlotUTC,Platform,AccountId,Fact,Plate,Reason,MediaUrl
DELETE,4230973,2026-09-09T20:20:00.000Z,youtube,36129,nbc,nbc-cemetery,"nbc: keeping 4231155,4231201 on 36129",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/ffc4cd7c-3570-401f-92b8-f5631c3ed7ef.mp4
DELETE,4230997,2026-09-10T20:20:00.000Z,youtube,36129,gb,gb-bike,"gb: keeping 4230975,4231070 on 36129",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/c8348e88-b9f2-42dc-92a2-63ac0b0763d8.mp4
DELETE,4024574,2026-09-11T17:00:00.000Z,tiktok,41488,mare,mare-bedroom,"mare: keeping 4230965,4231123 on 41488",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e2c9830b-7cbd-478b-9263-c9775270816e.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/29e27027-938d-4a58-8d2e-c5c038d9a6c4.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/e4a1e9be-6354-4511-b309-1303d30264ca.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/734931b3-f210-4027-8a3f-4724bf262644.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/3fe433f6-f0dc-42a4-b0e0-2eb2fef332ac.jpeg
DELETE,4231024,2026-09-11T20:20:00.000Z,youtube,36129,gb,gb-bike,"gb: keeping 4230975,4231070 on 36129",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/cafa1abe-20c1-4215-950a-d76d9849e6b9.mp4
DELETE,4231046,2026-09-12T14:30:00.000Z,youtube,36129,gb,gb-bike,"gb: keeping 4230975,4231070 on 36129",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/23e74a26-cc05-4943-8396-db59ffc3325d.mp4
DELETE,4231050,2026-09-12T20:20:00.000Z,youtube,36129,turnip,turnip,turnip: keeping 4231022 on 36129,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/1a0b6741-360c-4d43-b1f0-40ccee2c92b6.mp4
DELETE,4231060,2026-09-13T14:30:00.000Z,youtube,36129,gb,gb-bike,"gb: keeping 4230975,4231070 on 36129",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/f9e00b81-eb47-4813-bf4c-be492bf13023.mp4
DELETE,4231068,2026-09-13T20:00:00.000Z,tiktok,41488,turnip,turnip,turnip: keeping 4231056 on 41488,https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/a1e67109-ab91-4216-b281-a629e33193ed.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/11f5cd12-ad31-456f-ab29-648fcff1df2d.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/79c00699-f20e-445c-aa88-732124c492b6.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/12873fa8-17aa-4a3c-9c62-51009a8467f2.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/b887fc29-0167-44a4-96b7-90dd79fe9998.jpeg
DELETE,4231062,2026-09-13T20:20:00.000Z,youtube,36129,nbc,nbc-cemetery,"nbc: keeping 4231155,4231201 on 36129",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/849afc11-dd23-40df-92c3-e9317c316218.mp4
DELETE,4231074,2026-09-14T14:00:00.000Z,facebook,30840,turnip,turnip,"turnip: keeping 4231064,4231160 on 30840",https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/65ab6fc2-727c-4747-94c5-ac314d35552e.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/158ab28c-c2a8-4237-a97c-70bc489913a1.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/455009f5-1294-4b5d-a528-4d182d2ede77.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/8598586d-4bb6-4f70-909b-a92cca9e4eac.jpeg|https://database.blotato.io/storage/v1/object/public/public_media/5472a21c-0213-4305-8693-b19295e4d67e/730a3708-6720-461c-8675-e6c13ff13f1e.jpeg
