Night,NightNo,Status,IG,FB,TT,YT,IGFacts,Verdict
2026-09-19,1,published,4,3,2,2,afraidark casper halloweentown trailer,FLOOD
2026-09-20,2,published,0,3,2,3,,DARK
2026-09-21,3,published,1,1,4,0,goosebumps,kept
2026-09-22,4,part published,2,1,4,1,mare nbc,FLOOD
2026-09-23,5,scheduled,0,1,2,1,,DARK
2026-09-24,6,scheduled,3,3,3,3,coffin lugnano shelley,FLOOD
2026-09-25,7,scheduled,1,1,1,0,goosebumps,kept
2026-09-26,8,scheduled,1,1,1,1,mare,kept
2026-09-27,9,scheduled,1,1,1,1,nbc,kept
2026-09-28,10,scheduled,0,0,0,1,,DARK
2026-09-29,11,scheduled,1,1,1,0,goosebumps,kept
2026-09-30,12,scheduled,2,1,2,1,mare trickortreat,FLOOD
2026-10-01,13,scheduled,1,1,1,1,nbc,kept
2026-10-02,14,scheduled,0,0,0,1,,DARK
2026-10-03,15,scheduled,1,1,1,0,goosebumps,kept
2026-10-04,16,scheduled,1,2,1,2,mare,kept
2026-10-05,17,scheduled,1,1,1,1,nbc,kept
2026-10-06,18,scheduled,0,0,0,1,,DARK
2026-10-07,19,scheduled,0,0,0,0,,DARK
2026-10-08,20,scheduled,1,0,0,0,mare,kept
2026-10-09,21,scheduled,0,0,1,0,,DARK
2026-10-10,22,scheduled,0,0,0,0,,DARK
2026-10-11,23,scheduled,0,0,0,0,,DARK
2026-10-12,24,scheduled,0,0,0,0,,DARK
2026-10-13,25,scheduled,1,0,1,0,halloweentown,kept
2026-10-14,26,scheduled,0,0,0,0,,DARK
2026-10-15,27,scheduled,0,0,0,0,,DARK
2026-10-16,28,scheduled,0,0,0,0,,DARK
2026-10-17,29,scheduled,0,1,0,1,,DARK
2026-10-18,30,scheduled,0,0,0,0,,DARK
2026-10-19,31,scheduled,0,0,0,0,,DARK
2026-10-20,32,scheduled,0,0,0,0,,DARK
2026-10-21,33,scheduled,0,0,0,0,,DARK
2026-10-22,34,scheduled,0,0,0,0,,DARK
2026-10-23,35,scheduled,0,0,0,0,,DARK
2026-10-24,36,scheduled,0,0,0,0,,DARK
2026-10-25,37,scheduled,0,0,0,0,,DARK
2026-10-26,38,scheduled,1,0,1,0,countdown,kept
2026-10-27,39,scheduled,0,0,0,0,,DARK
2026-10-28,40,scheduled,0,0,0,0,,DARK
2026-10-29,41,scheduled,0,0,0,0,,DARK
2026-10-30,42,scheduled,0,0,0,0,,DARK
2026-10-31,43,scheduled,1,0,1,0,samhain,kept
